ident,latitude,longitude,name,city,state,num_runway_hard,num_runway_soft
PADU,53.8989410400391,-166.54508972168,Unalaska,Unalaska,Alaska,1,0
PAUA,53.3769798278809,-167.892349243164,Cape Field At Fort Glenn,Unalaska,,2,1
PAOT,66.8838958740234,-162.600997924805,Ralph Wien Memorial,Kotzebue,Alaska,2,0
5QC,65.4078750610352,-164.660049438477,Quartz Creek Kougarok,Quartz Creek,Alaska,0,1
K29,64.8968048095703,-163.703628540039,Council,Council,Alaska,0,1
PAWM,64.6891555786133,-163.412734985352,White Mountain,White Mountain,Alaska,1,0
2AK9,65.6734161376953,-162.459884643555,Independence Creek,Independence Creek,Alaska,0,1
PADE,66.0692138671875,-162.767044067383,Deering,Deering,Alaska,2,0
PAGZ,65.401969909668,-161.281433105469,Granite Mountain As,Granite Mountain,Alaska,1,0
AK26,64.5602340698242,-164.446166992188,Solomon State Field,Solomon,Alaska,0,1
PFEL,64.614875793457,-162.27067565918,Elim,Elim,Alaska,1,0
GLV,64.543815612793,-163.038726806641,Golovin,Golovin,Alaska,0,1
PAGL,64.5504531860352,-163.007171630859,Golovin,Golovin,Alaska,1,0
WBB,63.5160102844238,-162.277984619141,Stebbins,Stebbins,Alaska,0,1
PAMK,63.4900779724121,-162.1103515625,St. Michael,St. Michael,Alaska,1,0
AUK,62.6788368225098,-164.650527954102,Alakanuk,Alakanuk,Alaska,1,0
PAEM,62.7861289978027,-164.490783691406,Emmonak,Emmonak,Alaska,0,1
PAUK,62.6830291748047,-164.722244262695,Alakanuk,,,0,1
PFKO,63.0306053161621,-163.532638549805,Kotlik,Kotlik,Alaska,1,0
SXP,62.5203742980957,-164.847686767578,Sheldon Point,Sheldon Point,Alaska,0,1
PAMO,62.0948104858398,-163.682830810547,Mountain Village,Mountain Village,Alaska,1,0
PASM,62.0581893920898,-163.303894042969,St Mary's,St Mary's,Alaska,2,0
0AK,61.9345512390137,-162.899551391602,Pilot Station,Pilot Station,Alaska,1,0
IGT,60.4692153930664,-164.704025268555,Nightmute,Nightmute,Alaska,1,0
PAEW,60.9390907287598,-164.641220092773,Newtok,Newtok,Alaska,1,0
MLL,61.8674621582031,-162.067901611328,Marshall,Marshall,Alaska,1,0
PARS,61.7768898010254,-161.319610595703,Russian Mission,Russian Mission,Alaska,0,2
PPIT,60.9060287475586,-162.440643310547,Nunapitchuk,Nunapitchuk,Alaska,1,0
4A2,60.8678970336914,-162.274337768555,Atmautluak,Atmautluak,Alaska,1,0
PFKW,60.7902450561523,-161.443786621094,Kwethluk,Kwethluk,Alaska,1,0
PABE,60.7785224914551,-161.838562011719,Bethel,Bethel,Alaska,3,0
PAPK,60.7029037475586,-161.778305053711,Napaskiak,Napaskiak,Alaska,1,0
PANA,60.6903343200684,-161.978546142578,Napakiak,Napakiak,Alaska,1,0
Z13,60.9138221740723,-161.493377685547,Akiachak,Akiachak,Alaska,1,0
PACK,60.1368064880371,-164.279174804688,Chefornak,Chefornak,Alaska,1,0
PAGG,59.8755531311035,-163.168075561523,Kwigillingok,Kwigillingok,Alaska,1,0
PAKI,59.9316101074219,-164.028167724609,Kipnuk,Kipnuk,Alaska,1,0
A61,60.3512001037598,-162.654586791992,Tuntutuliak,Tuntutuliak,Alaska,1,0
PADY,59.9616088867188,-162.880645751953,Kongiganak,Kongiganak,Alaska,1,0
EEK,60.2137222290039,-162.043869018555,Eek,Eek,Alaska,1,0
PAEE,60.2137451171875,-162.043823242188,Eek,,,1,0
GNU,59.1178855895996,-161.573776245117,Goodnews,Goodnews,Alaska,1,0
PAQH,59.754940032959,-161.845062255859,Quinhagak,Quinhagak,Alaska,1,0
6AK1,58.9112319946289,-161.711486816406,Platinum Mine,Platinum,Alaska,1,0
PAEH,58.648136138916,-162.063873291016,Cape Newenham LRRS,Cape Newenham,Alaska,1,0
PAPM,59.0178451538086,-161.827255249023,Platinum,Platinum,Alaska,1,0
PAKF,54.8478012084961,-163.407119750977,False Pass,False Pass,Alaska,1,0
PAVC,55.1163635253906,-162.266464233398,King Cove,King Cove,Alaska,1,0
PACD,55.203929901123,-162.723190307617,Cold Bay,Cold Bay,Alaska,2,0
PACS,54.5841293334961,-164.905883789063,Cape Sarichef,Cape Sarichef,Alaska,1,0
PFNO,66.8175430297852,-161.02229309082,Curtis Meml,Noorvik,Alaska,1,0
PAIK,66.9759674072266,-160.436584472656,Bob Baker Memorial,Kiana,Alaska,1,0
8AK3,66.7601623535156,-160.14533996582,Roland Norton Memorial Airstrip,Selawik,Alaska,0,1
PASK,66.6001510620117,-159.985931396484,Selawik,Selawik,Alaska,2,0
PAFM,67.1055526733398,-157.859909057617,Ambler,Ambler,Alaska,2,0
PABL,65.9815902709961,-161.149108886719,Buckland,Buckland,Alaska,0,1
HAY,65.2021484375,-161.157211303711,Haycock,Haycock,Alaska,0,1
PFKU,64.8758392333984,-157.730422973633,Koyukuk,Koyukuk,Alaska,1,0
PANU,64.7293853759766,-158.073989868164,Nulato,Nulato,Alaska,0,1
PAKV,64.3181228637695,-158.743408203125,Kaltag,,,1,0
K40,62.6472702026367,-160.190063476563,Anvik,Anvik,Alaska,1,0
PAGX,62.8921318054199,-160.066284179688,Grayling,Grayling,Alaska,1,0
PAHX,62.6921653747559,-159.569244384766,Shageluk,Shageluk,Alaska,0,1
PAHC,62.1882438659668,-159.775085449219,Holy Cross,Holy Cross,Alaska,1,0
FLT,62.4527778625488,-157.986877441406,Flat,Flat,Alaska,0,1
PFCR,62.0323143005371,-158.235717773438,Donlin Creek,,,1,0
PALG,61.5359764099121,-160.345596313477,Kalskag,Kalskag,Alaska,1,0
PANI,61.5815963745117,-159.543075561523,Aniak,Aniak,Alaska,1,0
PFAK,60.9029083251953,-161.230651855469,Akiak,Akiak,Alaska,1,0
TLT,61.087718963623,-160.923446655273,Tuluksak,Tuluksak,Alaska,1,0
ZNC,60.9810256958008,-159.994094848633,Nyac,Nyac,Alaska,1,0
PACH,61.579044342041,-159.215621948242,Chuathbaluk,Chuathbaluk,Alaska,1,0
CJX,61.8677978515625,-158.135025024414,Crooked Creek,Crooked Creek,Alaska,0,1
A63,59.0744857788086,-160.275115966797,Twin Hills,Twin Hills,Alaska,1,0
4AK7,59.2804946899414,-158.596694946289,Aleknagik Mission School,Aleknagik,Alaska,0,2
5A8,59.2825508117676,-158.617904663086,New Aleknagik,Aleknagik,Alaska,1,0
PATG,59.0544624328613,-160.394821166992,Togiak,Togiak Village,Alaska,2,0
0Z3,59.0534477233887,-158.583755493164,Shannons Pond,Dillingham,Alaska,1,0
17Z,58.9902381896973,-159.049896240234,Manokotak,Manokotak,Alaska,1,0
93AK,58.8715476989746,-158.472244262695,The Queens,Queens,Alaska,0,1
PADL,59.0446891784668,-158.505523681641,Dillingham,Dillingham,Alaska,1,0
PAMB,58.9317970275879,-158.90234375,Manokotak,,,1,0
PFCL,58.8336715698242,-158.529388427734,Clarks Point,,,1,0
PAPH,56.9595489501953,-158.633346557617,Port Heiden,Port Heiden,Alaska,2,0
PAPN,57.5804252624512,-157.572036743164,Pilot Point,Pilot Point,Alaska,1,0
UGB,57.4245643615723,-157.745056152344,Ugashik Bay,Pilot Point,Alaska,1,0
A79,56.2554244995117,-158.777862548828,Chignik Lake,Chignik Lake,Alaska,0,1
KCG,56.3179206848145,-158.589508056641,Chignik Fisheries,Chignik,Alaska,1,0
KCL,56.3109588623047,-158.534484863281,Chignik Lagoon,Chignik Flats,Alaska,0,1
PAJC,56.3115425109863,-158.373123168945,Chignik,Chignik,Alaska,0,1
PAAL,56.0056838989258,-160.560928344727,Port Moller Air Force Station,Cold Bay,Alaska,1,0
PAOU,56.0075454711914,-161.160827636719,Nelson Lagoon,Nelson Lagoon,Alaska,1,0
Z52,56.0369491577148,-160.264923095703,Johnsons Landing,Bear Lake,Alaska,0,2
PASD,55.3137283325195,-160.521514892578,Sand Point,Sand Point,Alaska,1,0
PAPE,55.9067115783691,-159.160903930664,Perryville,,,1,0
DCK,66.9425582885742,-156.891540527344,Dahl Creek,Dahl Creek,Alaska,1,0
PAGH,66.8880767822266,-157.162567138672,Shungnak,Shungnak,Alaska,1,0
PAOB,66.9123611450195,-156.897247314453,Kobuk,,,1,0
PABW,67.0766983032227,-156.943817138672,Barrow Airport,Barrow,,1,0
2AK6,66.1809463500977,-155.695266723633,Hog River,Hogatza,Alaska,0,1
PAHL,65.697883605957,-156.351455688477,Huslia,Huslia,Alaska,1,0
PAHS,65.702766418457,-156.378646850586,Huslia,Huslia,Alaska,0,1
PAGA,64.7360229492188,-156.937026977539,Edward G Pitka Sr,Galena,Alaska,1,0
1KC,64.4164886474609,-156.819229125977,Kalakaket Creek As,Kalakaket Creek,Alaska,0,1
KCR,63.5732116699219,-156.007781982422,Colorado Creek,Colorado Creek,Alaska,0,1
99AK,62.5973663330078,-157.155654907227,Moore Creek,Moore Creek,Alaska,1,0
Z17,63.1471977233887,-156.532119750977,Ophir,Ophir,Alaska,1,0
PPCT,62.9929351806641,-156.029632568359,Takotna,,,0,1
AK40,63.2284736633301,-154.761978149414,Nixon Fork Mine,Mcgrath,Alaska,1,0
MDR,63.1056632995606,-154.719848632813,Medfra,Medfra,Alaska,1,0
0AA4,62.5064544677734,-153.893035888672,Farewell,Farewell,Alaska,0,2
PASL,61.7005195617676,-157.165802001953,Sleetmute,Sleetmute,Alaska,0,1
RDV,61.7879409790039,-157.349716186523,Red Devil,Red Devil,Alaska,1,0
SRV,61.7897834777832,-156.588516235352,Stoney River 2,Stoney River,Alaska,0,1
2AK,61.3589744567871,-155.440490722656,Lime Village,Lime Village,Alaska,1,0
PASV,61.0969543457031,-155.574722290039,Sparrevohn LRRS,Sparrevohn,Alaska,1,0
9Z8,59.1270713806152,-156.859893798828,Levelock,Levelock,Alaska,0,1
PAJZ,59.7266540527344,-157.259521484375,Koliganek,Koliganek,Alaska,1,0
KEK,59.3568725585938,-157.471160888672,Ekwok,Ekwok,Alaska,0,1
KLL,59.1177139282227,-156.865249633789,Levelock,Levelock,Alaska,0,2
KNW,59.4498634338379,-157.328338623047,New Stuyahok,New Stuyahok,Alaska,0,1
PANW,59.4515724182129,-157.373153686523,New Stuyahok,,,1,0
PAIG,59.324089050293,-155.901641845703,Igiugig,Igiugig,Alaska,1,0
PANO,59.9802207946777,-154.839172363281,Nondalton,Nondalton,Alaska,1,0
4K0,59.7969818115234,-154.129974365234,Pedro Bay,Pedro Bay,Alaska,1,0
TPO,60.2001571655273,-154.323989868164,Port Alsworth,Port Alsworth,Alaska,2,0
PABM,59.3622283935547,-155.259780883789,Big Mountain,Big Mountain,Alaska,0,1
PFKK,59.4332962036133,-154.802551269531,Kokhanok,Kokhanok,Alaska,1,0
PAIL,59.7538604736328,-154.911026000977,Iliamna,Iliamna,Alaska,2,0
4AK9,58.7344665527344,-157.024810791016,Tibbetts,Naknek,Alaska,2,0
5NK,58.7345085144043,-157.024475097656,Naknek,Naknek,Alaska,2,0
PAKN,58.6770744323731,-156.649505615234,King Salmon,King Salmon,Alaska,2,0
PFWS,58.7024269104004,-157.002807617188,South Naknek Nr2,South Naknek,Alaska,2,0
AK60,57.884693145752,-157.094665527344,Fort Jensen,Jensens,Alaska,1,0
PAII,58.1855125427246,-157.374252319336,Egegik,Egegik,Alaska,2,0
PAKL,58.9656066894531,-155.097869873047,Kulik Lake,Kulik Lake,Alaska,1,0
9A8,57.5234603881836,-157.395980834961,Ugashik,Ugashik,Alaska,1,0
AK96,57.5164642333984,-157.386459350586,Bartletts,Egegik,Alaska,1,0
PALB,57.535083770752,-153.976684570313,Larsen Bay,Larsen Bay,Alaska,1,0
PAKY,57.565975189209,-154.453979492188,Karluk,Karluk,Alaska,1,0
PAKH,56.9386405944824,-154.182708740234,Akhiok,Akhiok,Alaska,1,0
1AK1,67.369384765625,-152.01171875,Crevice Creek,Crevice Creek,Alaska,0,1
PABT,66.9139099121094,-151.529159545898,Bettles,Bettles,Alaska,1,0
PAPR,66.8139572143555,-150.643692016602,Prospect Creek,Prospect Creek,Alaska,1,0
PAIM,65.9927062988281,-153.703826904297,Indian Mountain LRRS,Utopia Creek,Alaska,1,0
PATA,65.1744003295898,-152.108047485352,Calhoun Meml,Tanana,Alaska,0,1
80A,65.1040344238281,-151.176910400391,American Creek,American Creek,Alaska,0,1
PAML,64.9924011230469,-150.645553588867,Manley Hot Springs,Manley Hot Springs,Alaska,2,0
PAHE,65.0890045166016,-150.871917724609,Healy Airport,Healy,,1,0
2K5,63.3799018859863,-153.281661987305,Telida,Telida,Alaska,0,1
5Z5,63.5409851074219,-150.995071411133,Kantishna,Kantishna,Alaska,1,0
Z90,63.7512130737305,-150.33024597168,Stampede,Kantishna,Alaska,0,1
8KA,62.2938690185547,-153.369995117188,Tatitna,Tatitna,Alaska,0,1
PAFL,62.5321884155273,-153.61296081543,Tin Creek,Farewell Lake,Alaska,0,1
6AK,62.0837478637695,-152.717483520508,Rainy Pass,Rainy Pass,Alaska,0,1
33AK,62.5159187316895,-150.94548034668,Nugget Bench,Nugget Bench,Alaska,0,1
02AK,61.8772087097168,-150.097549438477,Rustic Wilderness,Willow,Alaska,0,1
0AK3,62.0348930358887,-150.491180419922,Parker Lake,Montana Creek,Alaska,0,1
21AK,62.0829658508301,-150.067031860352,Montana Creek,Talkeetna,Alaska,0,1
3AK3,62.5635566711426,-150.220245361328,Songlo Vista,Talkeetna,Alaska,0,1
PATK,62.3214073181152,-150.092636108398,Talkeetna,Talkeetna,Alaska,1,0
0AA5,62.3104476928711,-150.334396362305,Rangeview Airstrip,Y,,1,0
45AA,62.1627464294434,-150.539657592773,Davidson Strip,Willow,,0,1
51AK,62.2387237548828,-150.063629150391,Birch Creek Landing,Y,,0,1
AK19,62.1728935241699,-150.063735961914,Carl's Landing,Y,,1,0
1AK6,61.8558540344238,-151.400390625,Talachulitna River,Sketna,Alaska,0,1
PABG,61.1730918884277,-151.046600341797,Beluga,Beluga,Alaska,0,2
0AK9,61.3335266113281,-150.058547973633,Falcon Lake Strip,Anchorage,Alaska,0,1
25AK,61.7123260498047,-150.063552856445,Honeybee Lake Aero Park,Willow,Alaska,0,2
36AK,61.3447074890137,-150.065780639648,Flyway Farm Airstrip,Wasilla,Alaska,0,2
44AK,61.533447265625,-150.103149414063,West Papoose Lake Airpark,Wasilla,Alaska,0,1
64AK,61.4387741088867,-150.02799987793,Carpentiers Strip,Anchorage,Alaska,0,1
8AK6,61.3702697753906,-150.263778686523,Little Susitna,Susitna Station,Alaska,0,1
AK36,61.4357147216797,-150.122283935547,Point Mac,Anchorage,Alaska,0,1
AK67,61.7387237548828,-150.072509765625,Skid Marks,Willow,Alaska,0,1
AK69,61.7284622192383,-150.097320556641,Long Lake,Willow,Alaska,1,0
AK72,61.7054252624512,-150.599380493164,Jewell,Willow,Alaska,0,1
AK90,61.7448081970215,-150.115234375,Shirley Lake,Willow,Alaska,0,1
PAUO,61.7541923522949,-150.051376342773,Willow,Willow,Alaska,0,1
30AK,60.5058174133301,-151.259979248047,Doyle Estates,Kenai,Alaska,0,1
3AK4,60.6326484680176,-151.33935546875,Johnson,Kenai,Alaska,0,1
52AK,60.5054969787598,-151.248352050781,Basquo,Kenai,Alaska,0,1
5AK0,60.8175506591797,-151.799865722656,Trading Bay Production,Trading Bay,Alaska,0,1
6AK3,60.7290344238281,-151.277984619141,Butler Aviation,Kenai,Alaska,0,1
6Z1,60.6457290649414,-151.303741455078,Arness Lake,Kenai,Alaska,1,0
7AK3,60.4764595031738,-151.168914794922,Gaede,Soldotna,Alaska,1,1
8AK2,60.7008781433106,-151.294006347656,Carty's Airstrip,Kenai,Alaska,0,1
AK73,60.7230911254883,-151.309326171875,Mcgahan Industrial Airpark,Nikishka,Alaska,1,0
PAEN,60.5747947692871,-151.241348266602,Kenai Muni,Kenai,Alaska,2,0
PASX,60.4749717712402,-151.038192749023,Soldotna,Soldotna,Alaska,1,0
1AK4,60.5240631103516,-150.752044677734,Rotor Air,Soldotna,Alaska,1,0
40AK,60.5571975708008,-150.835845947266,Sterling Air Park,Sterling,Alaska,1,0
6AK5,61.1700439453125,-150.160797119141,Fire Island,Anchorage,Alaska,0,2
7AK5,60.5037345886231,-150.936462402344,Dahler Homestead,Soldotna,Alaska,0,1
7AK6,60.475944519043,-150.928512573242,Dan France,Soldotna,Alaska,0,1
88AK,60.5399627685547,-150.870040893555,Dutch Landing Strip,Sterling,Alaska,1,0
AK39,60.7000007629395,-150.175201416016,South Gasline,Sterling,Alaska,1,0
AK55,60.4894218444824,-150.801223754883,Moose Run Airstrip,Soldotna,Alaska,0,1
AK01,60.5290870666504,-150.624801635742,Alaska Airpark,Sterling,,1,0
AK05,60.5420150756836,-150.598770141602,Breeden,Sterling,,1,0
AK18,59.8331451416016,-153.086608886719,Camp Point,Homer,Alaska,0,1
0AK7,59.775936126709,-150.963943481445,Bradley Lake Hydroelectri Project Airstrip,Homer,Alaska,0,1
41AK,60.3118438720703,-151.320175170898,Winter's Strip,Kasilof,Alaska,0,1
5KS,60.3507308959961,-151.2626953125,Kasilof,Kasilof,Alaska,1,0
AK17,59.7670364379883,-151.216537475586,Glacierview Strip,Homer,Alaska,0,1
NIN,60.0201225280762,-151.589630126953,Ninilchik,Ninilchik,Alaska,1,0
00AK,59.9477310180664,-151.692474365234,Lowell Field,Anchor Point,,1,0
2AK4,59.4696273803711,-151.511611938477,Oyster Cove,Homer,Alaska,1,0
46AK,59.7375373840332,-151.021148681641,Bear Cove Farm,Homer,Alaska,0,1
4Z9,59.4518661499023,-151.521362304688,Jakolof Bay,Jakolof Bay,Alaska,0,1
AK07,59.246166229248,-151.874984741211,Dog Fish Bay,Anchorage,Alaska,0,1
PAHO,59.6455802917481,-151.476715087891,Homer,Homer,Alaska,1,0
PASO,59.4435234069824,-151.705200195313,Seldovia,Seldovia,Alaska,1,0
PGM,59.3483924865723,-151.829986572266,Port Graham,Port Graham,Alaska,1,0
ORI,57.8849029541016,-152.847564697266,Port Lions,Port Lions,Alaska,1,0
PAKD,57.8061981201172,-152.373565673828,Kodiak Mun,Kodiak,Alaska,1,0
PADQ,57.7494163513184,-152.493179321289,Kodiak,Kodiak,Alaska,3,0
6R7,57.2180480957031,-153.270172119141,Old Harbor,Old Harbor,Alaska,1,0
HI99,28.3893795013428,-178.296966552734,Sand Island,Kure Atol,Hawaii,1,0
PMDY,28.2015323638916,-177.381423950195,Henderson Field,"Midway Atoll, Sand I",,1,0
PHFS,23.8695507049561,-166.28498840332,Tern I.,Tern I.,Hawaii,0,1
HI01,22.209400177002,-159.44499206543,Princeville,Hanalei,Hawaii,1,0
HI03,22.0368404388428,-159.399398803711,Hanamaulu Airstrip,Hanamaulu,Hawaii,0,1
HI46,21.9660301208496,-159.427093505859,Hi 23 Airstrip,Puhi,Hawaii,1,0
PHPA,21.8969211578369,-159.60319519043,Port Allen,Hanapepe,Hawaii,1,0
PHBK,22.0227584838867,-159.785049438477,Barking Sands PMRF,Kauai,Hawaii,1,0
PHKE,21.9767589569092,-159.744293212891,Kekaha Airport,Kekaha,,1,0
PHLI,21.9759769439697,-159.338958740234,Lihue,Lihue,Hawaii,2,0
NPS,21.3626766204834,-157.962127685547,Ford Island NALF,Honolulu,Hawaii,0,1
PHDH,21.5794658660889,-158.197280883789,Dillingham Airfield,Oahu,Hawaii,1,0
PHHI,21.4814491271973,-158.037841796875,Wheeler AAF,Wahiawa,Hawaii,1,0
PHNL,21.3193874359131,-157.921264648438,Honolulu Intl,Honolulu,Hawaii,4,0
PHJR,21.3065605163574,-158.071578979492,Kalaeloa (John Rodgers Field),Kapolei,Hawaii,3,0
PHNG,21.4504642486572,-157.76789855957,Kaneohe Bay MCAS (Marion E Carl Field),Mokapu,Hawaii,1,0
PLWN,4.69831848144531,-160.394729614258,Washington Island Airstrip,Napari Village,,1,0
PLFA,3.89961838722229,-159.389312744141,Tabuaeran Island Airport,Napari Village,,0,1
HI49,21.1490230560303,-157.258758544922,Panda,Kaunakakai,Hawaii,0,1
PHLU,21.2110042572021,-156.973617553711,Kalaupapa Apt.,Kalaupapa,Hawaii,1,0
PHMK,21.1529731750488,-157.096466064453,Molokai,Kaunakakai,Hawaii,2,0
18HI,21.1369342803955,-156.734390258789,Brandt Field,Waialua,,0,1
PHJH,20.9629802703857,-156.673110961914,Kapalua,Lahaina,Hawaii,1,0
PHNY,20.7855854034424,-156.951400756836,Lanai,Lanai,Hawaii,1,0
PHWA,20.8026866912842,-156.582550048828,Waikapu Airport,Waikapu,,1,0
PHHN,20.7956447601318,-156.014434814453,Hana,Hana,Hawaii,1,0
PHOG,20.8989849090576,-156.430435180664,Kahului,Kahului,Hawaii,2,0
HI13,19.7920627593994,-155.848022460938,Puu Waa Waa Ranch,Kailua/Kona,Hawaii,1,0
PHKO,19.7387714385986,-156.045669555664,Ellison Onizuka Kona Intl At K,Kailua-Kona,Hawaii,1,0
PHMU,20.0013561248779,-155.668151855469,Waimea-Kohala,Kamuela,Hawaii,1,0
PHUP,20.2652282714844,-155.859954833984,Upolu,Hawi,Hawaii,1,0
HI27,20.0281143188477,-155.388610839844,Upper Paauilo Airstrip,Paauilo,Hawaii,0,1
HI32,19.8440074920654,-155.111572265625,Pepeekeo Airstrip,Pepeekeo,Hawaii,0,1
PHSF,19.7600631713867,-155.553817749023,Bradshaw Army Airfield,Pohakuloa,Hawaii,1,0
PHTO,19.7198963165283,-155.050369262695,Hilo Intl,Hilo,Hawaii,2,0
HI23,19.5464096069336,-155.10807800293,Mountain View Airstrip,Mountain View,Hawaii,1,0
HI25,19.1226692199707,-155.578277587891,Kaalaiki Airstrip,Naalehu,Hawaii,1,0
HI28,19.2156372070313,-155.468551635742,Pahala Airstrip,Pahala,Hawaii,1,0
PHHA,19.5161571502686,-154.962677001953,Hawaiian Paradise Park Airport,Hawaiian Paradise Park,,0,1
PLCH,1.98628377914429,-157.349868774414,Cassidy Intl,Christmas I,,1,0
PLBA,1.76282525062561,-157.194213867188,Banana Village Airport,Banana Village,,1,0
NLWF,-14.311595916748,-178.066452026367,Point Vele,Futuna I,,1,0
NFKB,-17.2544364929199,-179.488647460938,Kaibu Island Airport,Sigave,,0,1
NLAL,-17.4385833740234,-179.16357421875,Alo Airport,Alo,,0,1
NLAO,-17.5258827209473,-178.71516418457,Alo Airport,Alo,,0,1
NFOL,-20.658878326416,-178.741088867188,Ono-I-Lau Airport,Haveluloto,,0,1
NLWW,-13.2383146286011,-176.199295043945,Hihifo,Uvea I,,1,0
NFTO,-15.5705976486206,-175.630432128906,Niuafo'Ou,,,0,1
NFTV,-18.5855522155762,-173.962829589844,Vava'u,Vava'u,,1,0
NFTL,-19.7769737243652,-174.341293334961,Ha'Apai-Lifuka,Ha'Apai-Lifuka Island,,1,0
NFTF,-21.2408580780029,-175.149993896484,Fua'Amotu Intl,Nuku'Alofa,,1,0
PCIS,-2.76864814758301,-171.707885742188,Canton AFLD,Canton I,,1,0
NSFA,-13.8299894332886,-172.008361816406,Faleolo Intl,Apia,,1,0
NSFI,-13.8492527008057,-171.739562988281,Fagali,Fagali,,1,0
NSMA,-13.7423229217529,-172.257919311523,Maota Airport,Vailoa,,1,0
NSTU,-14.3300342559814,-170.710250854492,Pago Pago Intl,Pago Pago,,2,0
NSFQ,-14.21608543396,-169.423568725586,Fitiuta,"Tau Island, American Sam",,1,0
NSAS,-14.1843414306641,-169.670043945313,Ofu Village Apt.,"Ofu, American Samoa",,1,0
NIUE,-19.0789566040039,-169.925750732422,Niue Intl,Niue Island,,1,0
NCPK,-10.91455078125,-165.839706420898,Pukapuka,,,1,0
NCMH,-10.3809537887573,-160.999282836914,Manihiki,,,1,0
NCAI,-18.8330383300781,-159.765853881836,Avarua,Aitutaki,,2,0
